id	title	description	availability	condition	price	sale_price	link	image_link	brand	custom_label_0	custom_label_1	custom_label_2	custom_label_3
222	Tủ lạnh Samsung inverter 380 lít RT38K5930DX/SV	Tủ lạnh Samsung inverter 380 lít RT38K5930DX/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	12650000 VND	12650000 VND	http://localhost:51139/tu-lanh-samsung-inverter-380-lit-rt38k5930dx-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-380-lit-rt38k5930dx-sv.png	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
221	Tủ lạnh Samsung Inverter 380 lít RT38K5982SL/SV	Tủ lạnh Samsung Inverter 380 lít RT38K5982SL/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	14300000 VND	11700000 VND	http://localhost:51139/tu-lanh-samsung-inverter-380-lit-rt38k5982sl-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-380-lit-rt38k5982sl-sv_5756.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
220	Tủ lạnh Samsung Inverter 360 lít RT35K50822C/SV Mới	Tủ lạnh Samsung Inverter 360 lít RT35K50822C/SV Mới Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	16900000 VND	12500000 VND	http://localhost:51139/tu-lanh-samsung-inverter-360-lit-rt35k50822c-sv-moi/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-360-lit-rt35k50822c-sv-moi-2020.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
219	Tủ lạnh Samsung Inverter 360 lít RT35K5982BS/SV	Tủ lạnh Samsung Inverter 360 lít RT35K5982BS/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	15300000 VND	10200000 VND	http://localhost:51139/tu-lanh-samsung-inverter-360-lit-rt35k5982bs-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-360-lit-rt35k5982bs-sv.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
218	Tủ lạnh Samsung Inverter 360 lít RT35K5982S8/SV	Tủ lạnh Samsung Inverter 360 lít RT35K5982S8/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	15400000 VND	8890000 VND	http://localhost:51139/tu-lanh-samsung-inverter-360-lit-rt35k5982s8-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-360-lit-rt35k5982s8-sv.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
217	Tủ lạnh Samsung Inverter 319 lít RT32K5932BY/SV Mới 2020	Tủ lạnh Samsung Inverter 319 lít RT32K5932BY/SV Mới 2020 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	6850000 VND	6850000 VND	http://localhost:51139/tu-lanh-samsung-inverter-319-lit-rt32k5932by-sv-moi-2020/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-319-lit-rt32k5932by-sv-moi-2020_7407.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
216	Tủ lạnh Samsung Inverter 319 lít RT32K5932BU/SV Mới	Tủ lạnh Samsung Inverter 319 lít RT32K5932BU/SV Mới Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	13400000 VND	8150000 VND	http://localhost:51139/tu-lanh-samsung-inverter-319-lit-rt32k5932bu-sv-moi/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-319-lit-rt32k5932bu-sv-moi-2020.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
215	Tủ lạnh Samsung Inverter 319 lít RT32K5932S8/SV	Tủ lạnh Samsung Inverter 319 lít RT32K5932S8/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	11780000 VND	7650000 VND	http://localhost:51139/tu-lanh-samsung-inverter-319-lit-rt32k5932s8-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-319-lit-rt32k5932s8-sv.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 300 đến 400 lít_Samsung	Tủ lạnh từ 300 đến 400 lít
214	Tủ lạnh Samsung Inverter 300L RT29K5532BU/SV	Tủ lạnh Samsung Inverter 300L RT29K5532BU/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	12200000 VND	6190000 VND	http://localhost:51139/tu-lanh-samsung-inverter-300l-rt29k5532bu-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-300l-rt29k5532bu-svmoi-2020.png	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 150 đến 300 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 150 đến 300 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 150 đến 300 lít_Samsung	Tủ lạnh từ 150 đến 300 lít
213	Tủ lạnh Samsung Inverter 299 lít RT29K5012S8/SV	Tủ lạnh Samsung Inverter 299 lít RT29K5012S8/SV Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	6950000 VND	6950000 VND	http://localhost:51139/tu-lanh-samsung-inverter-299-lit-rt29k5012s8-sv/	https://bestprice.tuanson.info/upload/img/tu-lanh-samsung-inverter-299-lit-rt29k5012s8-sv_6291.jpg	Samsung	Điện lạnh > Tủ lạnh > Tủ lạnh từ 150 đến 300 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 150 đến 300 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 150 đến 300 lít_Samsung	Tủ lạnh từ 150 đến 300 lít
